지점,지점명,일시,평균기온(°C)
108,서울,2011-05-22,17.3
108,서울,2011-05-23,19.5
108,서울,2011-05-24,21.5
108,서울,2011-05-25,22.7
108,서울,2011-05-26,20.7
108,서울,2011-05-27,20.1
108,서울,2011-05-28,22.4
108,서울,2011-05-29,24.4
108,서울,2011-05-30,22.7
108,서울,2011-05-31,18.7
108,서울,2011-06-01,18
108,서울,2011-06-02,19
108,서울,2011-06-03,19
108,서울,2011-06-04,18.7
108,서울,2011-06-05,20.4
108,서울,2011-06-06,20.9
108,서울,2011-06-07,20.9
108,서울,2011-06-08,22
108,서울,2011-06-09,19.4
108,서울,2011-06-10,21.4
108,서울,2011-06-11,24
108,서울,2011-06-12,23.4
108,서울,2011-06-13,21
108,서울,2011-06-14,22.8
108,서울,2011-06-15,25.2
108,서울,2011-06-16,26.5
108,서울,2011-06-17,24.9
108,서울,2011-06-18,24.5
108,서울,2011-06-19,26.6
108,서울,2011-06-20,26.6
108,서울,2011-06-21,24.1
108,서울,2011-06-22,22.7
108,서울,2011-06-23,22
108,서울,2011-06-24,19.7
108,서울,2011-06-25,18.3
108,서울,2011-06-26,19.2
108,서울,2011-06-27,19.2
108,서울,2011-06-28,24.1
108,서울,2011-06-29,21
108,서울,2011-06-30,23.8
108,서울,2011-07-01,25.1
108,서울,2011-07-02,24.7
108,서울,2011-07-03,22.6
108,서울,2011-07-04,22.5
108,서울,2011-07-05,24.3
108,서울,2011-07-06,25.6
108,서울,2011-07-07,22.9
108,서울,2011-07-08,22.4
108,서울,2011-07-09,23.6
108,서울,2011-07-10,24.2
108,서울,2011-07-11,21.2
108,서울,2011-07-12,22.8
108,서울,2011-07-13,24.3
108,서울,2011-07-14,23.6
108,서울,2011-07-15,23.4
108,서울,2011-07-16,22.8
108,서울,2011-07-17,25.1
108,서울,2011-07-18,28.7
108,서울,2011-07-19,28.5
108,서울,2011-07-20,27.6
108,서울,2011-07-21,27.1
108,서울,2011-07-22,24.1
108,서울,2011-07-23,25.4
108,서울,2011-07-24,24.8
108,서울,2011-07-25,24.9
108,서울,2011-07-26,24.8
108,서울,2011-07-27,24
108,서울,2011-07-28,24.7
108,서울,2011-07-29,26.2
108,서울,2011-07-30,27.2
108,서울,2011-07-31,24.7
108,서울,2011-08-01,25.6
108,서울,2011-08-02,26.1
108,서울,2011-08-03,25.4
108,서울,2011-08-04,25.4
108,서울,2011-08-05,28.9
108,서울,2011-08-06,28.5
108,서울,2011-08-07,28.7
108,서울,2011-08-08,24.7
108,서울,2011-08-09,26
108,서울,2011-08-10,25.8
108,서울,2011-08-11,26.6
108,서울,2011-08-12,25.3
108,서울,2011-08-13,25.3
108,서울,2011-08-14,25
108,서울,2011-08-15,24.5
108,서울,2011-08-16,25
108,서울,2011-08-17,23.7
108,서울,2011-08-18,25.2
108,서울,2011-08-19,24.4
108,서울,2011-08-20,23.1
108,서울,2011-08-21,24.4
108,서울,2011-08-22,23.5
108,서울,2011-08-23,24.3
108,서울,2011-08-24,24.8
108,서울,2011-08-25,25.7
108,서울,2011-08-26,26.4
108,서울,2011-08-27,27.6
108,서울,2011-08-28,27.3
108,서울,2011-08-29,26.8
108,서울,2011-08-30,27.1
108,서울,2011-08-31,27.9
108,서울,2011-09-01,27
108,서울,2011-09-02,26.9
108,서울,2011-09-03,25.1
108,서울,2011-09-04,23.7
108,서울,2011-09-05,23.8
108,서울,2011-09-06,23.4
108,서울,2011-09-07,22.6
108,서울,2011-09-08,22.3
108,서울,2011-09-09,19.9
108,서울,2011-09-10,21.5
108,서울,2011-09-11,21.2
108,서울,2011-09-12,23.3
108,서울,2011-09-13,25
108,서울,2011-09-14,24.4
108,서울,2011-09-15,25.7
108,서울,2011-09-16,25.6
108,서울,2011-09-17,25.8
108,서울,2011-09-18,21
108,서울,2011-09-19,16.8
108,서울,2011-09-20,17.7
108,서울,2011-09-21,18.1
108,서울,2011-09-22,18.1
108,서울,2011-09-23,19.5
108,서울,2011-09-24,19.6
108,서울,2011-09-25,20
108,서울,2011-09-26,21.2
108,서울,2011-09-27,21.8
108,서울,2011-09-28,19.8
108,서울,2011-09-29,16.9
108,서울,2011-09-30,14.8
108,서울,2011-10-01,12.7
